ingredient,ingredient_norm,total fat,total carbohydrate,calcium,cholesterol,saturated fat,protein,iron
#cakeweek,#cakeweek,,,,,,,
#wasteless,#wasteless,,,,,,,
22-minute meals,22-minute meals,0.0,5.02,0.15,0.0,0.0,0.0,0.0
3-ingredient recipes,3-ingredient recipes,21.18,0.0,1.54,29.67,32.0,52.88,13.89
30 days of groceries,30 days of groceries,38.46,0.0,1.85,26.0,59.0,28.8,9.11
advance prep required,advance prep required,,,,,,,
alabama,alabama,8.1,6.62,1.08,0.67,3.5,7.72,10.5
alaska,alaska,1.03,0.0,2.69,13.67,1.0,24.6,27.22
alcoholic,alcoholic,0.0,0.1,0.62,0.0,0.0,1.8,0.17
almond,almond,67.59,7.68,20.23,0.0,21.12,41.34,22.67
amaretto,amaretto,12.82,12.11,0.0,0.0,16.65,0.0,0.0
anchovy,anchovy,12.45,0.0,17.85,28.33,11.02,57.78,25.72
anise,anise,20.38,18.18,49.69,0.0,2.93,35.2,205.56
anniversary,anniversary,22.69,15.38,3.54,21.67,46.15,9.24,15.39
anthony bourdain,anthony bourdain,2.29,26.62,0.0,0.0,0.0,25.0,17.83
aperitif,aperitif,0.0,3.31,,,,0.0,
appetizer,appetizer,5.13,3.27,1.62,0.0,5.0,2.0,5.56
apple,apple,0.83,5.2,0.0,0.0,0.0,0.0,1.28
apple juice,apple juice,0.0,4.55,,,0.0,0.0,
apricot,apricot,0.0,4.91,,,,0.0,
arizona,arizona,0.0,3.55,0.23,0.0,0.0,0.0,0.0
artichoke,artichoke,0.44,4.35,1.62,0.0,0.4,5.78,3.39
arugula,arugula,0.9,1.28,12.46,0.0,0.0,5.64,8.22
asian pear,asian pear,0.29,3.87,0.31,0.0,0.06,1.0,0.0
asparagus,asparagus,0.0,1.28,1.85,0.0,0.0,4.7,13.06
aspen,aspen,38.46,20.36,6.15,0.0,25.0,16.0,8.0
atlanta,atlanta,28.08,17.05,4.77,15.67,78.0,6.24,12.5
australia,australia,0.0,27.27,,,0.0,6.24,
avocado,avocado,55.55,2.68,2.62,13.33,29.89,3.8,1.94
back to school,back to school,20.64,25.31,1.38,9.0,26.8,7.14,4.94
backyard bbq,backyard bbq,7.29,5.31,3.77,8.0,10.15,13.0,5.44
bacon,bacon,64.1,0.0,0.0,23.67,89.5,14.28,0.0
bake,bake,1.14,7.84,3.0,2.33,1.16,9.04,7.78
banana,banana,8.01,14.76,9.62,0.0,0.0,25.0,6.22
barley,barley,3.51,9.9,0.85,1.33,5.44,4.4,7.11
basil,basil,0.0,0.0,,,,0.0,
bass,bass,17.55,4.26,1.69,12.33,10.26,31.86,6.22
bastille day,bastille day,,,,,,,
bean,bean,4.74,5.78,2.0,0.0,2.65,10.88,8.89
beef,beef,7.54,0.0,0.0,17.67,20.6,40.0,23.56
beef rib,beef rib,8.69,0.0,1.15,19.0,12.25,42.6,10.11
beef shank,beef shank,4.94,0.0,1.54,13.0,6.4,43.6,12.89
beef tenderloin,beef tenderloin,9.72,0.0,0.0,17.0,17.7,41.4,12.61
beer,beer,0.0,1.29,0.31,0.0,0.0,0.92,0.11
beet,beet,0.1,5.92,0.85,0.0,0.07,1.6,2.28
bell pepper,bell pepper,0.14,1.74,0.58,,,1.43,1.03
berry,berry,0.44,4.53,1.31,0.0,0.11,1.52,3.06
beverly hills,beverly hills,0.0,15.6,0.0,0.0,0.0,0.0,0.0
birthday,birthday,23.72,23.56,0.0,0.0,55.5,7.4,0.0
biscuit,biscuit,25.64,12.11,30.77,17.67,53.5,16.0,13.33
bitters,bitters,3.49,1.52,0.69,0.67,3.4,1.64,2.06
blackberry,blackberry,0.37,1.8,0.15,0.0,0.0,1.16,233.33
blender,blender,5.35,30.87,1.77,0.0,2.5,13.56,150.0
blue cheese,blue cheese,22.95,1.3,41.23,18.0,62.5,42.8,0.0
blueberry,blueberry,0.0,23.64,,,,0.0,
boil,boil,28.22,7.73,4.23,0.0,15.28,27.0,5.61
bok choy,bok choy,0.3,1.28,4.76,,,2.04,2.44
bon appétit,bon appétit,0.0,33.78,0.0,0.0,0.0,0.0,0.0
bon app��tit,bon app��tit,27.44,22.07,5.46,12.0,44.65,14.28,21.44
boston,boston,5.81,17.29,9.62,0.0,3.48,21.34,20.0
bourbon,bourbon,36.67,19.49,0.0,0.0,26.8,21.4,23.83
braise,braise,6.27,1.25,0.54,129.67,,48.8,37.61
bran,bran,7.69,16.22,7.31,0.0,6.95,19.2,21.94
brandy,brandy,0.0,0.0,0.0,0.0,0.0,0.0,0.22
bread,bread,0.0,11.67,0.0,0.0,0.0,7.14,0.0
